INSTRUMENT_ID;INSTRUMENT_TYPE;TRADE_CODE
5771;Акция обыкновенная;CBOM
5163;Облигация биржевая;RU000A0JU898
5896;Облигация биржевая;RU000A0JUQQ5
5897;Облигация биржевая;RU000A0JUQR3
5898;Облигация биржевая;
5899;Облигация биржевая;
5900;Облигация биржевая;
5901;Облигация биржевая;
10558;Облигация субфедеральная;RU000A0ZYCD1
10694;Облигация муниципальная;RU000A0ZYJ00
9589;Облигация муниципальная;RU000A0JWWQ9
3762;Акция обыкновенная;ALRS
4492;Облигация биржевая;
4493;Облигация биржевая;
4494;Облигация биржевая;
4495;Облигация биржевая;
10824;Облигация биржевая;RU000A0ZYR18
3999;Облигация корпоративная;RU000A0JRJC6
4475;Облигация корпоративная;RU000A0JT593
10560;Облигация биржевая;RU000A0ZYCJ8
10819;Облигация биржевая;RU000A0ZYQX9
2537;Облигация корпоративная;RU000A0JQAL8
2538;Облигация корпоративная;RU000A0JQAM6
2931;Облигация корпоративная;RU000A0JQXG0
2929;Облигация корпоративная;RU000A0JR5F7
3399;Облигация корпоративная;RU000A0JRDY3
2930;Облигация корпоративная;RU000A0JR6S8
4138;Облигация корпоративная;RU000A0JS488
4622;Облигация корпоративная;RU000A0JTDX1
5000;Облигация корпоративная;RU000A0JTW83
6101;Облигация корпоративная;RU000A0JV4R9
10945;Облигация биржевая;RU000A0ZZ1N0
11047;Облигация биржевая;RU000A0ZZ7C0
3516;Облигация корпоративная;RU000A0JRJB8
3517;Облигация корпоративная;RU000A0JRJL7
4140;Облигация корпоративная;RU000A0JS4J1
4141;Облигация корпоративная;RU000A0JS4K9
4142;Облигация корпоративная;RU000A0JS4L7
10601;Облигация биржевая;RU000A0ZYDA5
9495;Облигация биржевая;
9496;Облигация биржевая;
9499;Облигация биржевая;RU000A0JWVL2
9500;Облигация биржевая;RU000A0ZZBV2
10841;Облигация биржевая;RU000A0ZYTZ8
2670;Облигация корпоративная;RU000A0JQK64
2671;Облигация корпоративная;RU000A0JQK72
3558;Облигация корпоративная;RU000A0JRLE8
3735;Облигация корпоративная;RU000A0JRVN8
4197;Облигация корпоративная;RU000A0JS6N8
4199;Облигация корпоративная;RU000A0JT874
4994;Облигация корпоративная;RU000A0JTVJ2
5309;Облигация корпоративная;RU000A0JU1Q8
5310;Облигация корпоративная;RU000A0JUAD7
11279;Пай биржевого ПИФа;SBMX
9934;Облигация биржевая;RU000A0JXQ85
3104;Облигация биржевая;RU000A0JWM31
5531;Облигация корпоративная;RU000A0JU9K4
6229;Облигация корпоративная;RU000A0JV0T3
9272;Облигация биржевая;RU000A0JWJF9
10490;Облигация биржевая;RU000A0ZZ2W9
3184;Пай закрытого ПИФа;RU000A0JR3X5
9420;Облигация биржевая;RU000A0JWLG3
10531;Облигация биржевая;RU000A0ZYA66
99;Акция обыкновенная;VTBR
10695;Облигация биржевая;RU000A0ZYKF9
10696;Облигация биржевая;RU000A0ZYKG7
11013;Облигация биржевая;
11259;Облигация биржевая;RU000A0ZZH84
11315;Облигация биржевая;
11383;Облигация биржевая;
11487;Облигация биржевая;
5325;Облигация биржевая;RU000A0JUQE1
9858;Облигация биржевая;
9859;Облигация биржевая;
9860;Облигация биржевая;
9861;Облигация биржевая;
5329;Облигация биржевая;RU000A0JV3Q3
9862;Облигация биржевая;
9876;Облигация биржевая;
9877;Облигация биржевая;
9878;Облигация биржевая;
9879;Облигация биржевая;
9880;Облигация биржевая;
9663;Облигация биржевая;
9881;Облигация биржевая;
9664;Облигация биржевая;
9882;Облигация биржевая;
9665;Облигация биржевая;
9883;Облигация биржевая;
9666;Облигация биржевая;
9884;Облигация биржевая;
9667;Облигация биржевая;
9885;Облигация биржевая;
9668;Облигация биржевая;
9669;Облигация биржевая;
5342;Облигация биржевая;RU000A0JU773
9670;Облигация биржевая;
9671;Облигация биржевая;
9672;Облигация биржевая;
11368;Облигация биржевая;RU000A0ZZUY6
11369;Облигация биржевая;RU000A0ZZV78
11370;Облигация биржевая;RU000A0ZZVB2
11371;Облигация биржевая;RU000A0ZZVC0
11372;Облигация биржевая;RU000A0ZZVN7
11373;Облигация биржевая;
11374;Облигация биржевая;
11375;Облигация биржевая;
11376;Облигация биржевая;
11377;Облигация биржевая;
11378;Облигация биржевая;
11379;Облигация биржевая;
11380;Облигация биржевая;
11381;Облигация биржевая;
11382;Облигация биржевая;
11007;Акции иностранного биржевого инвестиционного фонда;RUSB
11006;Акции иностранного биржевого инвестиционного фонда;RUSE
10541;Облигация субфедеральная;RU000A0ZYB40
3166;Облигация корпоративная;RU000A0JR3H8
3167;Облигация корпоративная;RU000A0JR3G0
3392;Облигация корпоративная;RU000A0JRCX7
3701;Облигация корпоративная;RU000A0JRTN2
4479;Облигация корпоративная;RU000A0JT403
4489;Облигация корпоративная;RU000A0JT6B2
4154;Облигация корпоративная;RU000A0JS4Z7
5571;Облигация корпоративная;RU000A0JUBA1
9303;Облигация биржевая;RU000A0JW6P7
9373;Облигация биржевая;RU000A0JWG96
9488;Облигация биржевая;RU000A0JWNE4
5100;Облигация биржевая;RU000A0JUD83
9502;Облигация биржевая;RU000A0JWNJ3
5101;Облигация биржевая;RU000A0JVQA7
9783;Облигация биржевая;RU000A0JX4Q9
9994;Облигация биржевая;RU000A0JXRP9
10364;Облигация биржевая;RU000A0JXU48
10397;Облигация биржевая;RU000A0JXU71
10728;Облигация биржевая;RU000A0ZYLH3
11282;Облигация биржевая;
11283;Облигация биржевая;
11284;Облигация биржевая;
11285;Облигация биржевая;
11286;Облигация биржевая;
11287;Облигация биржевая;
11404;Облигация биржевая;RU000A0ZZSM5
10730;Облигация биржевая;RU000A0ZYLJ9
11401;Облигация биржевая;RU000A0ZZSQ6
11400;Облигация биржевая;RU000A0ZZSR4
11399;Облигация биржевая;RU000A0ZZST0
11398;Облигация биржевая;RU000A0ZZSS2
11397;Облигация биржевая;RU000A0ZZSU8
11441;Облигация биржевая;
11481;Облигация биржевая;
11482;Облигация биржевая;
11483;Облигация биржевая;
11484;Облигация биржевая;
11485;Облигация биржевая;
11486;Облигация биржевая;
11048;Облигация биржевая;
5617;Облигация субфедеральная;RU000A0JUCZ6
9197;Облигация субфедеральная;RU000A0JW1K9
10742;Облигация субфедеральная;RU000A0ZYMJ7
10603;Облигация субфедеральная;RU000A0ZYD55
10740;Облигация субфедеральная;RU000A0ZYM47
5976;Облигация субфедеральная;RU000A0JUQF8
9392;Облигация субфедеральная;RU000A0JWHN7
10048;Облигация субфедеральная;RU000A0JXS83
11256;Облигация субфедеральная;RU000A0ZZEM5
11457;Облигация биржевая;RU000A0ZZRR6
4063;Облигации иностранного эмитента;RU000A0JR050
4139;Облигации иностранного эмитента;RU000A0JR043
5299;Облигации иностранного эмитента;RU000A0JS8X3
5416;Облигации иностранного эмитента;RU000A0JS8Y1
5417;Облигации иностранного эмитента;RU000A0JS8Z8
5431;Облигации иностранного эмитента;RU000A0JS900
5876;Облигации иностранного эмитента;RU000A0JS918
9249;Облигации иностранного эмитента;RU000A0JS926
10685;Облигации иностранного эмитента;RU000A0JS934
11192;Облигация биржевая;RU000A0ZZDB0
5931;Облигация корпоративная;RU000A0JUNU4
4305;Облигация корпоративная;RU000A0JS9X1
6111;Облигация биржевая;RU000A0JWC74
6112;Облигация биржевая;
6113;Облигация биржевая;
6114;Облигация биржевая;
6115;Облигация биржевая;RU000A0JVFJ1
6116;Облигация биржевая;
9358;Облигация биржевая;
9357;Облигация биржевая;
9356;Облигация биржевая;
9355;Облигация биржевая;
9354;Облигация биржевая;
9353;Облигация биржевая;
10815;Депозитарные расписки иностранного эмитента на акции;FIVE
5081;Депозитарные расписки иностранного эмитента на акции;QIWI
8572;Облигация субфедеральная;RU000A0JV2J0
10703;Облигация субфедеральная;RU000A0ZYHX8
10715;Облигация субфедеральная;RU000A0ZYKJ1
5923;Акции иностранного эмитента;YNDX
5763;Депозитарные расписки иностранного эмитента на акции;LNTA
8920;Облигация субфедеральная;RU000A0JVK00
5347;Облигация субфедеральная;RU000A0JU2H5
5992;Облигация субфедеральная;RU000A0JUQP7
9440;Облигация субфедеральная;RU000A0JWM56
10052;Облигация субфедеральная;RU000A0JXT41
11105;Облигация субфедеральная;RU000A0ZZ9P8
11458;Облигация субфедеральная;RU000A0ZZSW4
9156;Облигация субфедеральная;RU000A0JVZE0
10485;Облигация субфедеральная;RU000A0JXYS9
11075;Облигация субфедеральная;RU000A0ZZ8X4
8993;Облигация субфедеральная;RU000A0JVS10
9067;Облигация субфедеральная;RU000A0JVWM0
9616;Облигация субфедеральная;RU000A0JWXF0
10564;Облигация субфедеральная;RU000A0ZYCM2
10621;Облигация субфедеральная;RU000A0ZYFB8
11150;Облигация субфедеральная;RU000A0ZZC48
11328;Облигация субфедеральная;RU000A0ZZM87
5359;Облигация субфедеральная;RU000A0JU3B6
8976;Облигация субфедеральная;RU000A0JVPR3
10607;Облигация субфедеральная;RU000A0ZYDQ1
9422;Облигация субфедеральная;RU000A0JWLD0
11477;Облигация субфедеральная;RU000A0ZZUT6
6164;Облигация субфедеральная;RU000A0JUX89
9612;Облигация субфедеральная;RU000A0JWX87
5950;Облигация субфедеральная;RU000A0JUPE3
8941;Облигация субфедеральная;RU000A0JVM81
10716;Облигация субфедеральная;RU000A0ZYKH5
5927;Облигация субфедеральная;RU000A0JUN81
8929;Облигация субфедеральная;RU000A0JVKF9
9683;Облигация субфедеральная;RU000A0JWZM1
10401;Облигация субфедеральная;RU000A0JXUD9
10498;Облигация субфедеральная;RU000A0JY031
5977;Облигация субфедеральная;RU000A0JUQH4
8883;Облигация субфедеральная;RU000A0JVEH8
9386;Облигация субфедеральная;RU000A0JWGT6
9976;Облигация субфедеральная;RU000A0JXR43
11061;Облигация субфедеральная;RU000A0ZZ7E6
11384;Облигация субфедеральная;RU000A0ZZNJ2
4104;Еврооблигация;XS0504954347
4229;Еврооблигация;XS0767472458
4230;Еврооблигация;XS0767473852
5178;Еврооблигация;XS0971721377
5403;Еврооблигация;XS0971721450
5397;Еврооблигация;XS0971721963
9402;Еврооблигация;RU000A0JWHA4
10426;Еврооблигация;RU000A0JXTS9
10425;Еврооблигация;RU000A0JXU14
10929;Еврооблигация;RU000A0ZYYN4
5402;Еврооблигация;XS0971722342
9699;Облигация федерального займа;SU24019RMFS0
10597;Облигация федерального займа;SU25083RMFS5
4087;Облигация федерального займа;SU26205RMFS3
